Market,audience,Campaign,Clicks,Cost,Impressions,fees
AUS,Children,Google,500,411.57,30054,456.7327
AUS,Adults,Google,3911,3106.15,286888,3447.7165
AUS,Retention,Google,320,245.38,25820,272.2618
AUS,Oldies,Google,639,99.99,59532,110.8789
AUS,Adults,Google,237,42.54,18368,47.1094
AUS,Retention,Google,13,3.19,1006,3.4309
RSA,Oldies,Google,231,5.07,347,5.5177
RSA,Children,Google,128,5.05,175,5.4955
RSA,Retention,Google,35,1.94,42,2.0434
RSA,Oldies,Google,49,6.7,152,7.327
RSA,Children,Google,12,2.48,54,2.6428
RSA,Adults,Google,9,1.86,19,1.9546
RSA,Retention,Google,3,1.37,5,1.4107
RSA,Oldies,Google,487,267.03,50362,296.2933
RSA,Children,Google,43,24.76,3901,27.3736
RSA,Adults,Google,32,15.41,2168,16.9951
RSA,Retention,Google,6,2.63,599,2.8093
NZ,Oldies,Google,741,12.83,1009,14.1313
NZ,Children,Google,1036,34.38,1343,38.0518
NZ,Retention,Google,231,9.54,285,10.4794
NZ,Oldies,Google,295,58.26,790,64.5586
NZ,Children,Google,118,18.49,320,20.4139
NZ,Adults,Google,47,8.6,93,9.436
NZ,Retention,Google,1,1,2,1
NZ,Oldies,Google,115,46.6,2851,51.616
NZ,Children,Google,263,116.35,4603,129.0385
NZ,Adults,Google,54,38.45,643,42.5695
NZ,Retention,Google,10,14.46,119,15.9406
NZ,Oldies,Facebook,4409,2119.62,656402,2352.6682
NZ,Children,YouTube,182,126.49,11320,140.2939
NZ,Adults,Instagram,81,59.44,6655,65.8684
NZ,Retention,Instagram,21,15.42,1374,17.0062
IND,Oldies,Google,1570,45.69,2323,50.6059
IND,Children,Facebook,731,29.4,1041,32.524
IND,Adults,YouTube,1119,37.85,1593,41.9035
IND,Retention,Instagram,157,7.26,197,7.9486
IND,Oldies,Google,838,181.33,2118,201.1663
IND,Children,Facebook,486,133.21,1274,147.7531
IND,Adults,YouTube,312,88.04,632,97.6144
IND,Retention,Instagram,55,9.19,87,10.0909
IND,Oldies,Email,668,296.62,12284,329.1382
IND,Children,Facebook,964,313.39,15512,347.7529
IND,Oldies,YouTube,1395,619.94,138609,688.0234
IND,Children,Instagram,30,18.79,2737,20.7469
IND,Adults,YouTube,101,52.58,13379,58.2538
IND,Retention,Instagram,5,3.02,330,3.2422
CH,Oldies,Email,1106,78.69,1412,87.2359
CH,Children,Facebook,290,19.57,397,21.6127
CH,Adults,YouTube,265,19.18,313,21.1798
CH,Retention,Instagram,34,3.07,43,3.2977
CH,Oldies,Instagram,319,66.73,635,73.9603
CH,Children,Email,58,20.89,124,23.0779
CH,Adults,Facebook,107,24.76,182,27.3736
CH,Retention,YouTube,10,3.64,17,3.9304
CH,Oldies,Instagram,247,277.97,5189,308.4367
CH,Children,Email,41,33.46,1078,37.0306
CH,Adults,Facebook,50,95.37,607,105.7507
CH,Retention,YouTube,4,14.35,39,15.8185
CH,Oldies,Facebook,893,790.96,123501,877.8556
CH,Children,YouTube,68,86.73,4987,96.1603
CH,Adults,Instagram,142,214.85,9955,238.3735
CH,Retention,Email,3,4.34,262,4.7074
AUS,Oldies,Email,5503,77.02,8838,85.3822
AUS,Children,Facebook,7208,281.54,9889,312.3994
AUS,Adults,Facebook,14543,309.15,18659,343.0465
AUS,Retention,YouTube,2903,66.97,3618,74.2267
AUS,Oldies,Instagram,1266,325.03,3866,360.6733
AUS,Children,Email,3471,1290.49,10269,1432.3339
AUS,Adults,Facebook,2356,696.53,6099,773.0383
AUS,Retention,YouTube,233,68.31,600,75.7141
AUS,Oldies,Facebook,211,101.16,6582,112.1776
AUS,Children,Facebook,3486,1394.98,52046,1548.3178
AUS,Adults,Instagram,681,482.99,12602,536.0089
AUS,Retention,Email,182,192.09,2083,213.1099
AUS,Oldies,Facebook,14285,4328.42,1765800,4804.4362
AUS,Children,YouTube,916,70.45,7588,78.0895
AUS,Adults,Instagram,810,91.85,43669,101.8435
AUS,Retention,Email,3,1.03,44,1.0333
AUS,Oldies,Facebook,6024,3492.75,660934,3876.8425
AUS,Children,YouTube,569,459.25,31553,509.6575
AUS,Adults,Instagram,4541,3517.79,327780,3904.6369
AUS,Retention,Email,389,328.77,29104,364.8247
AUS,Oldies,Facebook,857,159.89,89991,177.3679
AUS,Adults,YouTube,481,92.25,28154,102.2875
AUS,Retention,Instagram,23,4.87,1599,5.2957
RSA,Oldies,Google,206,5.77,304,6.2947
RSA,Children,Email,117,7.3,182,7.993
RSA,Adults,Facebook,1,1,3,1
RSA,Retention,YouTube,29,2.15,36,2.2765
RSA,Oldies,Instagram,36,5.99,151,6.5389
RSA,Children,Instagram,17,2.96,65,3.1756
RSA,Adults,Google,3,1.49,23,1.5439
RSA,Retention,Email,2,1.07,6,1.0777
RSA,Oldies,Facebook,503,294.52,47816,326.8072
RSA,Children,YouTube,26,14.51,3106,15.9961
RSA,Adults,Instagram,38,22.69,2607,25.0759
RSA,Retention,Google,7,3.75,640,4.0525
NZ,Oldies,Email,747,12.76,1007,14.0536
NZ,Children,Facebook,1038,31.49,1379,34.8439
NZ,Retention,YouTube,229,8.38,285,9.1918
NZ,Oldies,Facebook,365,70.45,869,78.0895
NZ,Children,Instagram,127,22.1,353,24.421
NZ,Adults,Google,51,11.2,105,12.322
NZ,Retention,Email,2,1.09,3,1.0999
NZ,Oldies,Facebook,112,44.18,2670,48.9298
NZ,Children,YouTube,273,117.91,4711,130.7701
NZ,Adults,Google,43,27.89,620,30.8479
NZ,Retention,Email,18,22.19,133,24.5209
NZ,Oldies,YouTube,3665,1693.6,522626,1879.786
NZ,Children,YouTube,178,122.45,12094,135.8095
NZ,Adults,Instagram,116,86.8,6902,96.238
NZ,Retention,Google,20,19.82,1194,21.8902
IND,Oldies,Email,1292,41.26,2015,45.6886
IND,Children,Facebook,674,32.13,933,35.5543
IND,Adults,YouTube,981,38.01,1482,42.0811
IND,Retention,Google,137,7.73,188,8.4703
IND,Oldies,Email,723,164.5,1866,182.485
IND,Children,YouTube,434,117.23,1215,130.0153
IND,Adults,YouTube,335,82.4,669,91.354
IND,Retention,YouTube,32,7.89,85,8.6479
IND,Oldies,Google,531,226.47,10134,251.2717
IND,Children,Email,968,310.64,13673,344.7004
IND,Oldies,Facebook,858,486.46,96899,539.8606
