country,user,ordernum,orderstatus,date_ordered,channel
UK,b3381,7c3d1,finished,"2019-02-24 00:00:00",others
UK,b3381,217dc,finished,"2019-04-15 00:00:00",social
UK,bc8f2,0df21,cancelled,"2019-04-26 00:00:00",social
UK,bebf9,edeab,finished,"2019-02-25 00:00:00",direct
UK,e5d03,ec480,finished,"2019-04-13 00:00:00",google
UK,e9133,bb055,cancelled,"2019-03-31 00:00:00",social
UK,0d75d,6bc80,finished,"2019-02-11 00:00:00",direct
UK,0f17f,e04a1,finished,"2018-12-29 00:00:00",direct
UK,0f17f,6fc13,finished,"2019-03-26 00:00:00",direct
UK,0f17f,abb7e,cancelled,"2019-05-14 00:00:00",others
UK,44c98,7fd39,finished,"2019-02-26 00:00:00",google
UK,4aa8b,8ed1b,finished,"2019-01-21 00:00:00",google
UK,54c86,c4a7f,finished,"2019-03-07 00:00:00",social
UK,57e4a,1a365,finished,"2019-03-24 00:00:00",direct
UK,609d1,6657d,finished,"2019-03-27 00:00:00",others
UK,6f96e,77f97,finished,"2019-04-28 00:00:00",google
UK,6f96e,afa7f,finished,"2019-05-01 00:00:00",social
UK,7a92b,b5495,finished,"2019-04-27 00:00:00",direct
UK,7a92b,681f1,finished,"2019-05-15 00:00:00",social
UK,cead7,fafe7,finished,"2019-04-25 00:00:00",social
UK,e4400,d5918,finished,"2019-02-07 00:00:00",direct
UK,f35ca,121d2,finished,"2019-05-10 00:00:00",direct
UK,2aa15,5cb87,finished,"2019-04-04 00:00:00",google
UK,32339,5df31,finished,"2019-01-18 00:00:00",direct
UK,32339,1f3ac,finished,"2019-01-23 00:00:00",direct
UK,39bd7,e7e05,finished,"2019-03-26 00:00:00",direct
UK,3cbc9,75585,finished,"2019-04-16 00:00:00",direct
UK,550b6,adeb2,cancelled,"2019-03-02 00:00:00",others
UK,555eb,f36a3,finished,"2019-03-21 00:00:00",direct
UK,555eb,83ddc,finished,"2019-03-23 00:00:00",direct
UK,78b5c,466d7,finished,"2019-03-16 00:00:00",direct
UK,7db34,7f46a,finished,"2019-02-09 00:00:00",direct
UK,9c6bb,9b6dd,finished,"2019-05-11 00:00:00",google
UK,9c6bb,b7984,finished,"2019-05-11 00:00:00",google
UK,9c6bb,6d588,finished,"2019-05-11 00:00:00",google
UK,b2435,d14ae,finished,"2019-05-16 00:00:00",others
UK,be853,2c043,finished,"2019-04-01 00:00:00",social
UK,be853,7bc7b,cancelled,"2019-04-12 00:00:00",social
UK,be853,ec3c9,finished,"2019-04-12 00:00:00",social
UK,db36f,226dc,finished,"2019-05-13 00:00:00",google
UK,db36f,73b17,finished,"2019-05-13 00:00:00",google
UK,e11bd,20ec0,finished,"2019-03-24 00:00:00",google
UK,ed70e,2530b,finished,"2019-04-19 00:00:00",google
UK,13a18,97c99,finished,"2019-04-13 00:00:00",google
UK,13a18,0a8c5,finished,"2019-05-04 00:00:00",social
UK,21796,8ef84,cancelled,"2019-02-23 00:00:00",google
UK,2cb22,f56b6,finished,"2019-04-04 00:00:00",social
UK,2cb22,710f0,finished,"2019-04-04 00:00:00",social
UK,2cb22,18baf,finished,"2019-04-04 00:00:00",social
UK,31464,d07c6,cancelled,"2019-01-22 00:00:00",direct
UK,36b20,bb93f,finished,"2019-04-23 00:00:00",social
UK,4acfc,5218a,finished,"2019-04-22 00:00:00",social
UK,65d73,d57bf,finished,"2019-05-12 00:00:00",direct
UK,84af4,38445,cancelled,"2019-04-11 00:00:00",social
UK,84af4,cf122,finished,"2019-04-12 00:00:00",social
UK,96143,00206,finished,"2019-04-16 00:00:00",social
UK,995b5,18a3c,finished,"2019-04-15 00:00:00",social
